v1,v2
ham,go until jurong point crazy available only bugis n great world la e buffet cine there got amore wat
ham,ok lar joking wif u oni
spam,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
ham,u dun say so early hor u c already then say
ham,nah i dont think he goes usf he lives around here though
spam,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs send rcv
ham,even my brother is not like speak with me they treat me like aids patent
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press copy your friends callertune
spam,winner as valued network customer you have been selected receivea prize reward claim call claim code kl valid hours only
spam,had your mobile months or more u r entitled update latest colour mobiles with camera for free call mobile update co free on
ham,im gon na be home soon and i dont want talk about this stuff anymore tonight k ive cried enough today
spam,six chances win cash from pounds txt csh and send cost pday days tsandcs apply reply hl info
spam,urgent you have won week free membership our prize jackpot txt word claim no tc wwwdbuknet lccltd pobox ldnwarw
ham,ive been searching for right words thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and blessing at all times
ham,i have date on sunday with will
spam,xxxmobilemovieclub use your credit click wap link next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watching here
ham,eh u remember how spell his name yes i did he v naughty make until i v wet
ham,fine if thats way u feel thats way its gota b
spam,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txt poboxoxwwq
ham,is that seriously how you spell his name
ham,im going try for months ha ha only joking
ham,so pay first lar then when is da stock comin
ham,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already
ham,ffffffffff alright no way i can meet up with you sooner
ham,just forced myself eat slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol
ham,lol your always so convincing
ham,did you catch bus are you frying an egg did you make tea are you eating your moms left over dinner do you feel my love
ham,im back amp were packing car now ill let you know if theres room
ham,ahhh work i vaguely remember that what does it feel like lol
ham,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want live with us
ham,yeah he got at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up that till but we wont go there not doing too badly cheers you
ham,k tell me anything about you
ham,for fear of fainting with of all that housework you just did quick have cuppa
spam,thanks for your subscription ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged
ham,yup ok i go home look at timings then i msg again xuhui going learn on nd may too but her lesson is at am
ham,oops ill let you know when my roommates done
ham,i see letter b on my car
ham,anything lor u decide
ham,hello hows you and how did saturday go i was just texting see if youd decided do anything tomo not that im trying invite myself or anything
ham,pls go ahead with watts i just wanted be sure do have great weekend abiola
ham,did i forget tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy
spam,rodger burns msg we tried call you re your reply our sms for free nokia mobile free camcorder please call now for delivery tomorrow
ham,who are you seeing
ham,great i hope you like your man well endowed i am ltgt inches
ham,no callsmessagesmissed calls
ham,didnt you get hep b immunisation nigeria
ham,fair enough anything going on
ham,yeah hopefully if tyler cant do it i could maybe ask around bit
ham,u dont know how stubborn i am i didnt even want go hospital i kept telling mark im not weak sucker hospitals are for weak suckers
ham,what you thinked about me first time you saw me class
ham,gram usually runs like ltgt half eighth is smarter though and gets you almost whole second gram for ltgt
